Source,Target,Weight
ops1x,ops1x,0
5uppp,5uppp,0
blxckoutz,Faah,162
blxckoutz,tiburciand0,132
blxckoutz,oKINGBR,81
blxckoutz,1DrakoNz,243
blxckoutz,mch_AGG,140
blxckoutz,ThomeFN,298
blxckoutz,CSRfps,157
blxckoutz,Tixinhadois,140
AdmiralBahroo,Momo,428
aircool,aircool,0
Pestily,Pestily,0
JLTomy,JLTomy,0
Amouranth,Amouranth,0
elded,elded,0
GronkhTV,GronkhTV,0
ddahyoni,ses836,97
Mayichi,Mayichi,0
IlloJuan,IlloJuan,0
ybicanoooobov,ybicanoooobov,0
AnthonyZ,Ramee,412
AnthonyZ,Deansocool,297
AnthonyZ,Ray__C,313
AnthonyZ,Biotoxz_,251
AnthonyZ,buddha,1172
Faah,tiburciand0,79
Faah,AlliedEsports,18
Faah,oKINGBR,42
Faah,1DrakoNz,109
Faah,ThomeFN,144
Faah,allkeyshop_tv,18
Faah,CSRfps,100
Faah,Tixinhadois,86
Th3Antonio,Th3Antonio,0
yvonnie,Natsumiii,186
yvonnie,fuslie,222
yvonnie,lilypichu,209
yvonnie,Scarra,129
yvonnie,Masayoshi,99
yvonnie,QuarterJade,198
bebe872,Complex,7
bebe872,ElisabeteTV,11
bebe872,AWS,8
bebe872,MissDoitBIG,9
bebe872,Stratus,10
bebe872,MANTARRAYA,9
bebe872,Monstercat,10
bebe872,TWDUniverse,8
bebe872,RelaxBeats,9
bebe872,killercam1020,9
bebe872,AlliedEsports,9
bebe872,oKINGBR,8
bebe872,douglas_tv,9
bebe872,DinixGames,9
bebe872,lalem,10
bebe872,UnRooolie,6
bebe872,allkeyshop_tv,8
bebe872,weathernewslive,7
bebe872,war10ck3d,6
bebe872,BTSBrasilTV,8
bebe872,OgamingSC2,9
bebe872,souless,11
bebe872,Insomniac,10
elxokas,Agustabell212,3625
elxokas,Silithur,3473
elxokas,ricoy23,3644
Kamikatze,Kamikatze,0
Berlinotv,Berlinotv,0
BoxyFresh,BoxyFresh,0
fobm4ster,fobm4ster,0
Slick,Alliege,98
Smzinho,Smzinho,0
Sh4dowehhh,Sh4dowehhh,0
DolphinChemist,DolphinChemist,0
Strippin,Criken,59
Strippin,Momo,116
StolenBR,StolenBR,0
kyliebitkin,Kiva,77
kyliebitkin,Spaceboy,52
kyliebitkin,HutchMF,121
kyliebitkin,Shotz,121
kyliebitkin,Ray__C,66
kyliebitkin,Biotoxz_,53
kyliebitkin,Crystalst,53
kyliebitkin,bananabrea,146
kyliebitkin,Chap,46
Complex,BeyondTheSummit,13
Complex,NerfTankTV,10
Complex,ElisabeteTV,9
Complex,AWS,8
Complex,MissDoitBIG,7
Complex,Stratus,9
Complex,MANTARRAYA,10
Complex,Monstercat,9
Complex,TWDUniverse,7
Complex,franchiseglobalart,12
Complex,RelaxBeats,12
Complex,laribasgal,10
Complex,SaltyTeemo,10
Complex,killercam1020,8
Complex,Blazt,9
Complex,AlliedEsports,12
Complex,oKINGBR,7
Complex,douglas_tv,11
Complex,DinixGames,7
Complex,UnRationaL,11
Complex,StringPlayerGamer,6
Complex,lalem,8
Complex,UnRooolie,8
Complex,MembTV,9
Complex,OnlyMXC,9
Complex,eggsoup,7
Complex,EternaLEnVyy,9
Complex,Falcodrin,12
Complex,allkeyshop_tv,13
Complex,weathernewslive,8
Complex,war10ck3d,8
Complex,VGBootCamp,7
Complex,BTSBrasilTV,11
Complex,OgamingSC2,7
Complex,souless,7
Complex,dandogg9,11
Complex,Abracadabra,6
Complex,StreamerHouse,12
Complex,Insomniac,8
JLFakemonster,Nateos,81
JLFakemonster,Zwave69,67
CaMaK,MoMaN,84
stevewillsendit,stevewillsendit,0
CalebDMTG,NumotTheNummy,48
bmkibler,AlliedEsports,18
bmkibler,allkeyshop_tv,17
AWS,ElisabeteTV,11
AWS,MissDoitBIG,10
AWS,Monstercat,12
AWS,TWDUniverse,8
AWS,AlliedEsports,9
AWS,lalem,9
AWS,allkeyshop_tv,9
AWS,OgamingSC2,10
AWS,souless,8
AWS,Insomniac,11
unicornio,unicornio,0
Proze,Proze,0
Buozzi,Buozzi,0
Stratus,ElisabeteTV,14
Stratus,MissDoitBIG,14
Stratus,MANTARRAYA,13
Stratus,Monstercat,13
Stratus,RelaxBeats,13
Stratus,laribasgal,14
Stratus,killercam1020,15
Stratus,AlliedEsports,15
Stratus,oKINGBR,15
