Source,Target,Weight
FolagorLives,FolagorLives,0
POW3Rtv,POW3Rtv,0
Symfuhny,Symfuhny,0
Solary,Solary,0
pokelawls,pokimane,322
pokelawls,slwalekoP,263
pokelawls,HappyThoughts,88
pokelawls,NymN,764
pokelawls,veibae,175
pokelawls,forsen,762
pokelawls,LIRIK,289
pokelawls,sodapoppin,877
lestream,lestream,0
chess24,Chess,45
BeyondTheSummit,tetristhegrandmaster3,14
BeyondTheSummit,Monstercat,14
BeyondTheSummit,franchiseglobalart,16
BeyondTheSummit,RelaxBeats,15
BeyondTheSummit,SaltyTeemo,13
BeyondTheSummit,AlliedEsports,11
BeyondTheSummit,OnlyMXC,14
BeyondTheSummit,allkeyshop_tv,12
BeyondTheSummit,weathernewslive,11
BeyondTheSummit,BTSBrasilTV,19
BeyondTheSummit,dandogg9,11
BeyondTheSummit,aesmatv,12
BeyondTheSummit,Insomniac,12
Kyle,Burn,236
Kyle,kyliebitkin,167
Kyle,dwjft,300
Kyle,MEKABEAR,286
Kyle,LAGTVMaximusBlack,124
Kyle,Hirona,294
Kyle,Ray__C,227
Kyle,Five0AnthO,633
Kyle,uhSnow,482
Kyle,Wolfabelle,164
Kyle,bananabrea,141
Kyle,buddha,369
itsHafu,qttsix,32
itsHafu,franchiseglobalart,26
itsHafu,JoshOG,26
itsHafu,albislol,27
itsHafu,DougisRaw,15
itsHafu,Mews,14
itsHafu,Natsumiii,58
itsHafu,xChocoBars,77
itsHafu,dakotaz,38
itsHafu,Shiphtur,25
itsHafu,HBomb94,30
itsHafu,DumbDog,30
itsHafu,SypherPK,30
Recrent,iLame,93
SteveSuptic,DumbDog,182
Enviosity,Tectone,174
IlloJuan,IlloJuan,0
paka9999,paka9999,0
melina,Kandyland,168
melina,Destiny,90
melina,Jinnytty,162
JASONR,WARDELL,50
Herdyn,ArcadeBulls,37
Akytio,EnriqueRamosGamer,13
Akytio,esl_csgo_pl,10
Akytio,MST3K,11
Akytio,nannanacho,12
Akytio,MissDoitBIG,7
Akytio,viperdemon,14
Akytio,tetristhegrandmaster3,12
Akytio,Monstercat,13
Akytio,chess24es,8
Akytio,derShakes,11
Akytio,franchiseglobalart,12
Akytio,albislol,9
Akytio,RelaxBeats,11
Akytio,TheMexicanRunner,13
Akytio,chess24fr,9
Akytio,laribasgal,9
Akytio,SmittyStone,11
Akytio,HontasG,7
Akytio,dua3362,14
Akytio,Multiplayerit,10
Akytio,Oonolive,14
Akytio,SaltyTeemo,11
Akytio,Cedduzzo,9
Akytio,SalvDali,11
Akytio,killercam1020,11
Akytio,armateam,11
Akytio,airshowerse,9
Akytio,COQTO,12
Akytio,AlliedEsports,12
Akytio,Athena,11
Akytio,DutchsinseOfficial,12
Akytio,BigEx,10
Akytio,LhCloudy27,10
Akytio,POKAMOLODOY,10
Akytio,LiveCryptoTraders,7
Akytio,TheAdapting,6
Akytio,10000DAYS,12
Akytio,Mr__Gibbins,11
Akytio,Esportal,6
Akytio,giganterichard,8
Akytio,OnlyMXC,11
Akytio,CastCrafter,14
Akytio,KSWINNIIE,11
Akytio,XEWER,12
Akytio,Co1azo,15
Akytio,Falcodrin,10
Akytio,allkeyshop_tv,11
Akytio,weathernewslive,12
Akytio,pulgaboy,11
Akytio,iGeStarK,11
Akytio,war10ck3d,8
Akytio,Arab,11
Akytio,dmf_kyochan,5
Akytio,TrymacsKaktusKoenig,9
Akytio,Yoshi93,14
Akytio,emin190766,9
Akytio,dandogg9,11
Akytio,katoo,15
Akytio,ArcadeBulls,13
Akytio,ESAMarathon,13
Akytio,StreamerHouse,10
Akytio,kragiee,11
Akytio,aesmatv,10
Akytio,kangqui,12
Akytio,Insomniac,13
Burn,kyliebitkin,38
Burn,dwjft,114
Burn,MEKABEAR,60
Burn,theLGX,38
Burn,Hirona,181
Burn,Ray__C,94
Burn,Five0AnthO,105
Burn,uhSnow,179
Burn,Wolfabelle,65
Burn,bananabrea,60
honeyball,allkeyshop_tv,4
mailand,Mouzakrobat,107
Skyyart,Skyyart,0
Walid,Walid,0
Colas_Bim,Colas_Bim,0
Sh4dowehhh,Sh4dowehhh,0
kanetv8,kanetv8,0
qttsix,shuteye_orange,47
qttsix,tetristhegrandmaster3,22
qttsix,franchiseglobalart,25
qttsix,JoshOG,15
qttsix,albislol,27
qttsix,beryl_lulu,44
qttsix,DougisRaw,12
qttsix,Mews,12
qttsix,KSPKSP,68
qttsix,vivi0z1,25
qttsix,blusewilly_retry,141
JonBams,Couriway,35
DolphinChemist,DolphinChemist,0
MiltonTPike1,MiltonTPike1,0
Spikevegeta,OnlyMXC,9
Spikevegeta,ESAMarathon,16
kyliebitkin,dwjft,73
kyliebitkin,MEKABEAR,48
kyliebitkin,theLGX,27
kyliebitkin,Hirona,101
kyliebitkin,Five0AnthO,88
kyliebitkin,uhSnow,144
kyliebitkin,Wolfabelle,38
kyliebitkin,bananabrea,54
kyliebitkin,Afro,16
Olsior,Olsior,0
JenNyan,derShakes,32
JenNyan,sukidingels,146
JenNyan,Maty,42
JenNyan,TORRO,181
restya_tw,KSPKSP,168
restya_tw,sweetcampercs,243
Kandyland,Maty,30
Deansocool,MEKABEAR,27
Deansocool,Wolfabelle,31
Deansocool,bananabrea,49
TenekeKafalar_TK,TenekeKafalar_TK,0
Rakyz,Rakyz,0
NickDaBooM,NickDaBooM,0
SchwabbelTown,TheKller,44
fifakillvizualz,fifakillvizualz,0
collet11,kuiki771,72
collet11,nanayango3o,108
collet11,wkgml,40
collet11,kumikomii,43
tteuw,sacy,90
Central_Committee,Central_Committee,0
SilentSentry,SilentSentry,0
viperdemon,EnriqueRamosGamer,14
viperdemon,nannanacho,10
viperdemon,DashDucks,14
viperdemon,Monstercat,13
viperdemon,franchiseglobalart,15
viperdemon,RelaxBeats,14
viperdemon,SmittyStone,13
viperdemon,Multiplayerit,9
viperdemon,Cedduzzo,13
viperdemon,killercam1020,11
viperdemon,armateam,12
viperdemon,COQTO,10
viperdemon,AlliedEsports,14
viperdemon,Athena,13
viperdemon,BigEx,12
viperdemon,POKAMOLODOY,11
viperdemon,LiveCryptoTraders,8
viperdemon,OnlyMXC,13
viperdemon,CastCrafter,15
viperdemon,KSWINNIIE,14
viperdemon,allkeyshop_tv,11
viperdemon,weathernewslive,10
viperdemon,war10ck3d,10
viperdemon,RiffTrax,14
viperdemon,emin190766,8
viperdemon,dandogg9,10
viperdemon,katoo,13
viperdemon,StreamerHouse,11
viperdemon,kragiee,13
viperdemon,aesmatv,13
viperdemon,Insomniac,11
HAchubby,Jinnytty,628
HAchubby,NymN,124
HAchubby,forsen,147
Kalei,Kalei,0
FinaoLive,SmittyStone,14
FinaoLive,AlliedEsports,11
FinaoLive,OnlyMXC,12
FinaoLive,allkeyshop_tv,13
FinaoLive,weathernewslive,11
FinaoLive,aesmatv,13
FinaoLive,Insomniac,14
tetristhegrandmaster3,MST3K,12
tetristhegrandmaster3,nannanacho,9
tetristhegrandmaster3,MissDoitBIG,6
tetristhegrandmaster3,DashDucks,13
tetristhegrandmaster3,Monstercat,15
tetristhegrandmaster3,chess24es,8
tetristhegrandmaster3,derShakes,10
tetristhegrandmaster3,franchiseglobalart,17
tetristhegrandmaster3,RelaxBeats,12
tetristhegrandmaster3,chess24fr,8
tetristhegrandmaster3,Multiplayerit,7
tetristhegrandmaster3,SaltyTeemo,12
tetristhegrandmaster3,Cedduzzo,11
tetristhegrandmaster3,SalvDali,11
tetristhegrandmaster3,killercam1020,12
tetristhegrandmaster3,armateam,11
tetristhegrandmaster3,airshowerse,11
tetristhegrandmaster3,COQTO,9
tetristhegrandmaster3,AlliedEsports,10
tetristhegrandmaster3,Athena,14
tetristhegrandmaster3,DutchsinseOfficial,10
tetristhegrandmaster3,POKAMOLODOY,9
tetristhegrandmaster3,LiveCryptoTraders,8
tetristhegrandmaster3,cuky222,9
tetristhegrandmaster3,OnlyMXC,10
tetristhegrandmaster3,allkeyshop_tv,12
tetristhegrandmaster3,weathernewslive,16
tetristhegrandmaster3,war10ck3d,8
tetristhegrandmaster3,BTSBrasilTV,15
tetristhegrandmaster3,RiffTrax,13
tetristhegrandmaster3,TrymacsKaktusKoenig,8
tetristhegrandmaster3,dandogg9,13
tetristhegrandmaster3,katoo,12
tetristhegrandmaster3,ArcadeBulls,13
tetristhegrandmaster3,ESAMarathon,12
tetristhegrandmaster3,StreamerHouse,10
tetristhegrandmaster3,kragiee,11
tetristhegrandmaster3,aesmatv,10
tetristhegrandmaster3,Insomniac,13
Jaxstyle,Multiplayerit,8
Jaxstyle,AlliedEsports,8
Jaxstyle,Esportal,8
AkTep,AkTep,0
Sr_ThuliuM,Yan1,5
Uthenera,Uthenera,0
Juice,WELOVEGAMES,83
Subroza,WARDELL,182
WillerZ,Gingerliness,56
chess24es,EnriqueRamosGamer,9
chess24es,MST3K,7
chess24es,nannanacho,7
chess24es,MissDoitBIG,5
chess24es,Monstercat,8
chess24es,derShakes,7
chess24es,franchiseglobalart,11
chess24es,Yan1,3
chess24es,RelaxBeats,10
chess24es,chess24fr,6
