Source,Weight
chess24,1.059
blxckoutz,1.206
POW3Rtv,2.227
ops1x,1.652
Symfuhny,6.939
Baiano,5.706
SmiteGame,4.513
Castro_1021,6.567
Solary,3.975
pokelawls,6.485
EWROON,8.772
lestream,11.287
FolagorLives,3.083
SolaryFortnite,0.762
Xiuder_,1.538
BeyondTheSummit,0.679
shuteye_orange,2.841
Dhalucard,5.177
GronkhTV,1.529
pokimane,11.311
Kyle,8.617
itsHafu,0.804
Recrent,3.327
SteveSuptic,4.398
SolaryHS,1.707
Sardoche,4.964
Enviosity,6.841
Alexby11,3.857
Elajjaz,6.271
paka9999,5.408
IlloJuan,15.793
Faah,0.586
Herdyn,2.179
ROSHTEIN,19.347
melina,3.411
JASONR,1.485
marty_vole,0.306
qlnek,0.064
ClassyBeef,2.73
Minos,0.855
Akytio,0.301
Burn,2.245
Posty,2.674
TrilluXe,2.495
mailand,1.73
ESL_SC2,6.527
Walid,0.17
Colas_Bim,2.204
HITBOXKING,3.356
Skyyart,2.43
99Damage,0.491
Sh4dowehhh,1.411
kanetv8,1.961
esl_csgo_pl,0.384
Slayproxx,1.394
MST3K,0.289
karchez,1.02
TEBtvRU,2.023
qttsix,0.647
DolphinChemist,0.504
XBOCT,1.289
JonBams,1.232
MiltonTPike1,1.219
Daniels,0.761
Back2Warcraft,0.656
Spikevegeta,0.448
AyarBaffo,1.399
Igromania,0.092
kyliebitkin,0.323
nahzinhaa,0.47
Olsior,0.983
Yogscast,1.598
TSM_Viss,1.198
Gluhammer,1.119
Kandyland,1.537
Deansocool,1.096
restya_tw,2.267
Rakyz,0.349
TheLivia,0.042
Daskelelele,0.589
NickDaBooM,0.774
klauslol1,0.536
bmkibler,0.156
fifakillvizualz,0.761
SchwabbelTown,1.354
BlackFIreIce,1.041
collet11,1.125
Central_Committee,1.832
LightFuryLF,1.881
tteuw,1.806
Chess,1.318
MissDoitBIG,0.052
xXxTheFocuSxXx,4.516
SilentSentry,0.672
viperdemon,0.543
Buozzi,0.734
Kalei,2.339
HAchubby,2.068
Stratus,0.465
maitoz,2.459
FinaoLive,0.708
Towelliee,1.452
larsahan,0.515
tiburciand0,1.634
DashDucks,0.57
AkTep,1.302
Jaxstyle,0.442
LobosJr,0.668
paracetamor,1.476
Sr_ThuliuM,0.26
pathofexilebota,1.297
Uthenera,1.553
Monstercat,0.291
Juice,1.196
canal5nacional,1.787
kr1stw,2.56
WillerZ,2.056
Flambass,0.787
Subroza,8.427
chess24es,0.128
Nuke73,1.571
dwjft,3.821
skswhdkgo1,0.498
Vadeal,2.699
makataO,0.911
JoshOG,0.438
franchiseglobalart,0.181
jeensoff,1.112
nugiyen,0.728
itmeJP,2.221
FarhadXRay,1.817
dtn_mukai,0.729
albislol,0.353
Xhiet0,0.616
Zade,3.503
Twaryna,1.347
beryl_lulu,2.103
Dakillzor,0.554
RelaxBeats,0.243
TobiasFate,5.919
jenntacles,1.26
Slysssa,1.177
TheMexicanRunner,0.471
chess24fr,0.064
MEKABEAR,0.908
laribasgal,0.252
Multiplayerit,0.133
dua3362,0.594
TaliaMar,1.192
Robbaz,0.865
just_ns,1.59
LumeiFei,0.382
Oonolive,0.771
Arvius,0.26
freyzplayz,0.559
BULLSEYE,0.853
Amaz,1.34
Fitzyhere,0.47
ToneEUW,0.477
Hydramist,0.559
SoyFelipez360,1.307
ShoXx__,1.008
Rated,0.535
Jackeyy,7.227
shenryyr,0.379
GustafGabel,0.984
AdamKissAK,0.557
SaltyTeemo,0.355
ErenAktan,0.854
Dennsen86,1.129
CyrusTWO,2.036
Cedduzzo,0.322
SalvDali,0.409
Mulder,0.985
slwalekoP,0.495
Cesarvsc,0.641
zxcursed,6.944
killercam1020,0.251
airshowerse,0.247
DougisRaw,0.156
rdo1337,0.176
innocents,0.774
AlliedEsports,0.044
Athena,0.459
Mande,0.713
Kertus,0.463
DutchsinseOfficial,0.317
sacy,4.609
BigEx,0.36
FenoHS,0.889
wagnificent,0.671
fuji720x,0.547
LhCloudy27,0.388
Lapi,0.418
easywithaces,0.431
Phyzikk,1.761
Ezekiel_III,0.587
Xaryu,0.125
sebasgmouret,0.116
del1ght,0.823
POKAMOLODOY,0.302
TaeRss,0.326
LiveCryptoTraders,0.03
suetam1v4,1.536
WagamamaTV,0.983
thejocraft_live,0.392
Alliance_Hakis,0.388
Morryeej,0.756
Wrugb,0.643
Wallibear,2.28
EJ_SA,0.4
ANTILIPSI,0.582
LaeppaStream,1.193
Zblito,1.063
Dada,1.689
zunksoyyo,0.241
kennybeats,1.602
TheAdapting,0.097
he0901,0.43
Halifax,0.328
10000DAYS,0.5
dahmien7,0.58
Mr__Gibbins,0.451
GeneraL_HS_,1.417
Drjayfisto,0.721
SgtGrafoyni,0.693
Pewy,0.075
venruki,0.829
Esportal,0.08
LAGTVMaximusBlack,1.19
MathoX,0.678
RealKraftyy,0.395
HappyThoughts,0.516
Tourva,0.246
J0J0C69,0.786
Cringer,0.483
giganterichard,0.175
theLGX,0.223
BibixHD,0.594
Mews,0.188
OnlyMXC,0.215
KSPKSP,1.499
Ivan_Grieco,1.103
Preachlfw,4.048
elwycco,3.77
ubeka_,0.393
DQA_TFT,0.28
