Source,Weight
SZ_Taisheen,0.865
D3stri,0.401
vivi0z1,0.631
Maty,0.746
Valle,0.995
KSWINNIIE,0.417
KindaFunnyGames,1.095
mortenroyale,1.143
XEWER,0.626
TaKeTV,0.563
Destiny,2.626
Natsumiii,2.002
Bonjwa,3.203
Otzdarva,5.198
Rakin,3.886
relaxing234,8.127
nokduro,7.412
jdm2088,3.096
BastiGHG,3.174
1DrakoNz,1.451
IamCristinini,5.38
TeePee,7.169
BlitzStream,1.959
JohnPitterTV,4.95
sujagg,0.984
Tectone,5.467
Hirona,1.583
MuTeX,0.818
Distortion2,2.806
Moonryde,2.052
Falcodrin,0.401
xChocoBars,1.677
pijack11,0.6
Perxitaa,5.358
PAGO3,4.001
ziGueira,3.405
Jinnytty,6.729
ElmiilloR,8.836
LEGOO,5.954
Kitboga,9.021
Sequisha,2.478
RduLIVE,3.98
MatteoHS,0.961
et_1231,3.981
BarbarousKing,3.76
Jolavanille,1.889
Sacriel,1.514
Vicens,1.718
DessT3,1.454
godjj,3.003
NateHill,0.989
naseongkim,1.21
Mithrain,2.078
saddummy,4.006
TFBlade,4.196
resttpowered,3.291
CasinoDaddy,1.743
SidneyEweka,5.077
masondota2,2.361
IzakOOO,2.482
mch_AGG,0.901
SkipNhO,1.914
agurin,1.135
ESL_CSGO_FR,1.112
ThomeFN,0.503
ANGRYPUG,1.69
Emongg,1.266
Ray__C,4.146
allkeyshop_tv,0.066
NymN,4.228
sweetdreams,4.381
TolkinLoL,3.73
ELoTRiX,2.813
bt0tv,1.988
dogdog,7.527
VELLOSO,0.119
uzra,3.488
CSRfps,1.154
weathernewslive,0.109
Staiy,4.728
MasterTay,1.439
dakotaz,1.23
kennyS,2.603
CzechCloud,1.53
LittleBigWhale,0.904
QuickyBaby,2.379
c9judite,0.581
PietSmiet,4.66
bratishkinOFF,7.263
Rumathra,6.555
yeTz,0.114
Giantwaffle,1.858
KriszhAdvice,1.804
obm1025,1.799
Alkaizerx,1.247
WARDELL,2.396
C_a_k_e,5.717
AbdulHD,6.662
TEBtv,2.58
crokeyz,1.143
MrSoki,3.058
ESL_csgo_es,1.715
Linkus7,0.373
PokemonChallenges,1.369
runthefutmarket,3.498
RocketBeansTV,1.062
skill4ltu,1.569
iGeStarK,0.448
BananaSlamJamma,0.921
Syndicate,2.633
war10ck3d,0.139
iLame,1.892
grafo,3.599
Five0AnthO,2.684
modestal,7.225
Deadlyslob,1.983
OgamingLoL,0.072
VERNI_SHAVERMY,1.472
SaltyBet,0.552
NiklasWilson,1.0
nanayango3o,1.884
Shiphtur,0.762
Jay3,1.29
Dyrus,1.353
BTSBrasilTV,0.789
ajehr,2.017
Reborn_Live,2.295
Arab,0.524
TheDarkness,0.039
Diables,2.944
moogrr1211,0.684
OgamingSC2,1.468
109ace,2.482
GingiTV,1.407
littleragergirl,2.452
MenosTrece,3.816
aXoZer,7.228
Im_Dontai,0.953
sweetcampercs,2.919
HBomb94,1.548
Yoshi93,0.711
RiffTrax,0.499
Kennzy,2.541
DansGaming,2.401
TheRunningManZ,2.679
lovelyyeon,0.99
TheRealzBlueWater,1.415
uhSnow,2.839
Pengu,2.603
blusewilly_retry,5.408
TORRO,0.691
BerriTV,0.322
Broeki1,1.201
Zrool,0.456
Thebausffs,4.034
Mongraal,10.675
dandogg9,0.115
fl0m,0.874
TES_csgo,0.582
Klean,1.28
Naowh,1.764
katoo,0.345
ses836,1.332
xPandorya,1.721
rhobalas_lol,1.58
BruceGrannec,1.24
Baso,1.159
WELOVEGAMES,2.649
Caedrel,3.376
muse_tw,0.586
Gnu_Live,1.28
ArcadeBulls,0.578
DumbDog,1.32
KennyStream,0.904
mistafaker,0.401
ESAMarathon,0.486
Videoyun,1.419
mL7support,1.699
StreamerHouse,0.293
Whaazz,0.451
olyashaa,1.656
Couriway,0.976
Altair,2.172
MSStudio,2.357
BeatportOfficial,0.343
TpaBoMaH,2.642
veibae,7.498
pilavpowa,1.614
FlexZ,1.524
boyMinORu,2.571
IKeepItTaco,0.182
DreadzTV,4.017
Spraggy,0.695
kumikomii,0.982
fnxLNTC,0.759
kragiee,0.387
Dekarldent,2.894
TurunPug,0.485
FifaTargrean,1.332
peVoR13,0.623
ZEON,0.878
alenenwooptv,1.163
aesmatv,0.102
Incon,1.918
ALOHADANCETV,0.329
GTimeTV,0.434
RybsonLoL_,2.93
bananabrea,1.657
Wolfabelle,1.067
CPentagon,1.177
2SekundovyMato,1.03
Kotton,0.616
AverageJonas,1.318
NumotTheNummy,1.068
woowakgood,2.643
Bawkbasoup,1.617
Afro,0.455
sonycast_,1.976
Nokokopuffs,1.217
kangqui,0.329
JeanMassietAccropolis,2.052
G4G_REVENANT,2.727
Dota2RuHub,9.991
buddha,10.122
otplol_,1.414
fps_shaka,18.357
ESL_CSGO,45.391
Gaules,50.529
TheGrefg,15.803
forsen,9.845
SypherPK,1.488
csgomc_ru,12.561
LIRIK,15.787
juansguarnizo,21.4
handongsuk,9.429
CohhCarnage,8.507
auronplay,118.83
ShivFPS,7.67
LyonWGFLive,29.726
Insomniac,0.192
Quin69,11.908
Gotaga,4.489
HusKerrs,2.47
Tfue,10.452
sodapoppin,26.822
Philza,18.876
Ninja,12.997
NoWay4u_Sir,11.925
Gorgc,9.399
