Source,Target,Weight
TheKAIRI78,TheKAIRI78,0
delaruetv,delaruetv,0
Slysssa,Slysssa,0
Odablock,Odablock,0
edizderbreite,edizderbreite,0
joskiyokda,joskiyokda,0
FoxenKin,FoxenKin,0
segall,segall,0
quqco,quqco,0
PiazzTwitch,PiazzTwitch,0
Dashy,Dashy,0
AkumaGirrl,AkumaGirrl,0
DMGPOLAND,franchiseglobalart,20
DMGPOLAND,allkeyshop_tv,15
DMGPOLAND,Abracadabra,15
faxuty,AlliedEsports,7
faxuty,LiveCryptoTraders,5
faxuty,allkeyshop_tv,7
SaltyTeemo,MissDoitBIG,11
SaltyTeemo,franchiseglobalart,16
SaltyTeemo,killercam1020,13
SaltyTeemo,AlliedEsports,16
SaltyTeemo,zunksoyyo,14
SaltyTeemo,canceldota,13
SaltyTeemo,Falcodrin,18
SaltyTeemo,allkeyshop_tv,17
SaltyTeemo,OgamingLoL,17
SaltyTeemo,OgamingSC2,16
SaltyTeemo,Abracadabra,14
SaltyTeemo,Insomniac,15
shenryyr,allkeyshop_tv,14
AbuSwe7l,AbuSwe7l,0
SalvDali,SalvDali,0
zxcursed,zxcursed,0
Rizzo,Rizzo,0
AlliedEsports,Lagonis,7
AlliedEsports,MissDoitBIG,13
AlliedEsports,franchiseglobalart,18
AlliedEsports,dtn_mukai,13
AlliedEsports,ToneEUW,12
AlliedEsports,Cedduzzo,17
AlliedEsports,killercam1020,11
AlliedEsports,Athena,17
AlliedEsports,DutchsinseOfficial,11
AlliedEsports,fuji720x,12
AlliedEsports,Timit,11
AlliedEsports,easywithaces,14
AlliedEsports,LiveCryptoTraders,11
AlliedEsports,StephenIRL,15
AlliedEsports,ANTILIPSI,17
AlliedEsports,SocialBoomTV,11
AlliedEsports,zunksoyyo,12
AlliedEsports,Halifax,13
AlliedEsports,LAGTVMaximusBlack,15
AlliedEsports,canceldota,14
AlliedEsports,giganterichard,16
AlliedEsports,cuky222,10
AlliedEsports,YDCB,16
AlliedEsports,OnlyMXC,15
AlliedEsports,Mews,8
AlliedEsports,DedBaldesh,14
AlliedEsports,Bonjwa,13
AlliedEsports,Falcodrin,15
AlliedEsports,PAAStreaming,4
AlliedEsports,kinstaar,11
AlliedEsports,allkeyshop_tv,17
AlliedEsports,VELLOSO,15
AlliedEsports,weathernewslive,10
AlliedEsports,A1taOda,14
AlliedEsports,war10ck3d,13
AlliedEsports,OgamingLoL,14
AlliedEsports,RatoBorrachudo,14
AlliedEsports,BTSBrasilTV,18
AlliedEsports,OgamingSC2,14
AlliedEsports,RiffTrax,18
AlliedEsports,souless,15
AlliedEsports,dandogg9,16
AlliedEsports,ArcadeBulls,13
AlliedEsports,Saiiren,13
AlliedEsports,Abracadabra,16
AlliedEsports,StreamerHouse,19
AlliedEsports,its_WiKeD,10
AlliedEsports,Insomniac,13
GMKrikor,GMKrikor,0
fuji720x,MissDoitBIG,12
fuji720x,zunksoyyo,16
fuji720x,DedBaldesh,17
fuji720x,allkeyshop_tv,14
fuji720x,OgamingSC2,14
Phyzikk,Phyzikk,0
Ezekiel_III,Ezekiel_III,0
Mirza_Jahic,Mirza_Jahic,0
Smurf_tv,Smurf_tv,0
LiveCryptoTraders,MissDoitBIG,4
LiveCryptoTraders,franchiseglobalart,9
LiveCryptoTraders,dtn_mukai,8
LiveCryptoTraders,ToneEUW,5
LiveCryptoTraders,killercam1020,8
LiveCryptoTraders,zunksoyyo,6
LiveCryptoTraders,canceldota,7
LiveCryptoTraders,cuky222,6
LiveCryptoTraders,OnlyMXC,8
LiveCryptoTraders,DedBaldesh,7
LiveCryptoTraders,PAAStreaming,4
LiveCryptoTraders,allkeyshop_tv,10
LiveCryptoTraders,VELLOSO,10
LiveCryptoTraders,weathernewslive,7
LiveCryptoTraders,war10ck3d,7
LiveCryptoTraders,OgamingLoL,8
LiveCryptoTraders,OgamingSC2,10
LiveCryptoTraders,souless,8
LiveCryptoTraders,Abracadabra,7
LiveCryptoTraders,StreamerHouse,9
LiveCryptoTraders,Insomniac,7
StephenIRL,MissDoitBIG,11
StephenIRL,franchiseglobalart,16
StephenIRL,zunksoyyo,14
StephenIRL,LAGTVMaximusBlack,15
StephenIRL,canceldota,12
StephenIRL,OnlyMXC,16
StephenIRL,DedBaldesh,15
StephenIRL,Falcodrin,17
StephenIRL,allkeyshop_tv,16
StephenIRL,war10ck3d,13
StephenIRL,OgamingSC2,12
StephenIRL,souless,14
StephenIRL,Abracadabra,19
StephenIRL,StreamerHouse,16
StephenIRL,its_WiKeD,13
StephenIRL,Insomniac,15
ANTILIPSI,franchiseglobalart,20
ANTILIPSI,allkeyshop_tv,19
zunksoyyo,MissDoitBIG,8
zunksoyyo,franchiseglobalart,15
zunksoyyo,dtn_mukai,12
zunksoyyo,Cedduzzo,15
zunksoyyo,killercam1020,9
zunksoyyo,Timit,14
zunksoyyo,SocialBoomTV,13
zunksoyyo,canceldota,13
zunksoyyo,cuky222,10
zunksoyyo,YDCB,14
zunksoyyo,OnlyMXC,13
zunksoyyo,DedBaldesh,18
zunksoyyo,Falcodrin,14
zunksoyyo,allkeyshop_tv,15
zunksoyyo,VELLOSO,9
zunksoyyo,weathernewslive,10
zunksoyyo,A1taOda,15
zunksoyyo,war10ck3d,9
zunksoyyo,OgamingLoL,10
zunksoyyo,OgamingSC2,13
zunksoyyo,souless,11
zunksoyyo,Abracadabra,14
zunksoyyo,StreamerHouse,14
zunksoyyo,its_WiKeD,13
CobaltStreak,CobaltStreak,0
SgtGrafoyni,SgtGrafoyni,0
realMoji,realMoji,0
canceldota,MissDoitBIG,13
canceldota,franchiseglobalart,11
canceldota,dtn_mukai,11
canceldota,Cedduzzo,13
canceldota,killercam1020,10
canceldota,DutchsinseOfficial,9
canceldota,LAGTVMaximusBlack,12
canceldota,cuky222,11
canceldota,YDCB,12
canceldota,OnlyMXC,12
canceldota,DedBaldesh,9
canceldota,PAAStreaming,5
canceldota,allkeyshop_tv,12
canceldota,VELLOSO,8
canceldota,weathernewslive,9
canceldota,A1taOda,12
canceldota,war10ck3d,8
canceldota,OgamingLoL,12
canceldota,OgamingSC2,12
canceldota,souless,14
canceldota,gratis150ml,11
canceldota,ArcadeBulls,12
canceldota,Abracadabra,11
canceldota,StreamerHouse,12
canceldota,its_WiKeD,13
canceldota,Insomniac,10
follentass,follentass,0
BibixHD,BibixHD,0
Ashi,kyliebitkin,84
Ashi,Ssaab,86
Ashi,Saiiren,44
Ashi,Blaustoise,169
cuky222,MissDoitBIG,8
cuky222,franchiseglobalart,10
cuky222,dtn_mukai,11
cuky222,ToneEUW,8
cuky222,killercam1020,10
cuky222,DutchsinseOfficial,11
cuky222,LAGTVMaximusBlack,12
cuky222,OnlyMXC,11
cuky222,Falcodrin,11
cuky222,PAAStreaming,5
cuky222,allkeyshop_tv,12
cuky222,VELLOSO,8
cuky222,weathernewslive,11
cuky222,war10ck3d,8
cuky222,OgamingLoL,11
cuky222,OgamingSC2,12
cuky222,souless,12
cuky222,ArcadeBulls,14
cuky222,Abracadabra,11
cuky222,its_WiKeD,11
cuky222,Insomniac,10
YDCB,franchiseglobalart,17
YDCB,Athena,19
YDCB,DedBaldesh,16
YDCB,allkeyshop_tv,18
YDCB,VELLOSO,13
YDCB,A1taOda,18
YDCB,war10ck3d,12
YDCB,OgamingSC2,15
YDCB,souless,15
YDCB,Abracadabra,17
YDCB,StreamerHouse,18
Mews,franchiseglobalart,11
Euriece,Euriece,0
AyeZee,AyeZee,0
R6esportsBR,R6esportsBR,0
yellowhat,yellowhat,0
MrLlamaSC,MrLlamaSC,0
Psychoghost,Psychoghost,0
DedBaldesh,MissDoitBIG,8
DedBaldesh,franchiseglobalart,17
DedBaldesh,ToneEUW,10
DedBaldesh,Cedduzzo,16
DedBaldesh,Athena,16
DedBaldesh,Timit,13
