Source,Weight
FolagorLives,3.293
blxckoutz,1.191
POW3Rtv,2.206
ops1x,1.766
Symfuhny,6.113
SmiteGame,4.598
Solary,4.149
Baiano,5.734
pokelawls,6.219
Castro_1021,6.718
lestream,11.612
EWROON,9.355
chess24,1.083
shuteye_orange,2.765
BeyondTheSummit,0.654
Xiuder_,1.492
Kyle,8.551
pokimane,11.701
itsHafu,0.802
GronkhTV,1.507
Recrent,3.519
Dhalucard,5.218
SteveSuptic,4.234
SolaryHS,1.63
Enviosity,6.714
Elajjaz,6.214
IlloJuan,15.966
ClassyBeef,2.667
paka9999,5.346
ROSHTEIN,19.336
melina,3.349
marty_vole,0.297
JASONR,1.508
qlnek,0.229
Herdyn,2.217
Minos,0.883
Akytio,0.305
Posty,2.644
Burn,2.163
BruisedByGod,0.033
honeyball,0.215
TrilluXe,2.543
mailand,1.707
ESL_SC2,6.636
Skyyart,2.042
HITBOXKING,3.273
Walid,0.246
EnriqueRamosGamer,0.309
Colas_Bim,2.198
99Damage,0.497
Sh4dowehhh,1.478
esl_csgo_pl,0.423
kanetv8,1.899
TEBtvRU,2.147
qttsix,0.622
MST3K,0.286
JonBams,1.226
karchez,1.242
DolphinChemist,0.55
AyarBaffo,1.557
MiltonTPike1,1.158
Back2Warcraft,0.692
Spikevegeta,0.44
XBOCT,1.334
kyliebitkin,0.554
nahzinhaa,0.494
Olsior,0.99
Yogscast,1.578
JenNyan,1.646
nannanacho,0.103
restya_tw,2.322
TSM_Viss,1.211
Kandyland,1.511
Gluhammer,1.12
Deansocool,1.179
Mouzakrobat,1.254
TenekeKafalar_TK,1.357
TheLivia,0.037
Rakyz,0.789
Daskelelele,0.592
NickDaBooM,0.83
bmkibler,0.199
SchwabbelTown,1.365
BlackFIreIce,1.066
fifakillvizualz,0.747
LightFuryLF,1.826
collet11,1.096
Brizz94,3.362
tteuw,1.753
xXxTheFocuSxXx,4.439
Central_Committee,1.807
MissDoitBIG,0.056
SilentSentry,0.655
Chess,1.326
viperdemon,0.53
Towelliee,1.416
HAchubby,1.894
Buozzi,0.727
Kalei,2.261
maitoz,2.341
FinaoLive,0.699
tiburciand0,1.611
tetristhegrandmaster3,0.383
DashDucks,0.532
Jaxstyle,0.477
LobosJr,0.658
AkTep,1.285
paracetamor,1.464
Sr_ThuliuM,0.289
pathofexilebota,1.299
Uthenera,1.656
Monstercat,0.268
Juice,1.183
canal5nacional,1.832
Subroza,8.407
kr1stw,2.514
WillerZ,2.065
Flambass,0.77
chess24es,0.136
Nuke73,1.57
dwjft,3.841
derShakes,0.275
skswhdkgo1,0.498
Vadeal,2.745
makataO,0.782
franchiseglobalart,0.176
JoshOG,0.448
Yan1,0.063
TheKller,1.933
jeensoff,1.15
My_Zone_,0.218
nugiyen,0.7
itmeJP,2.285
FarhadXRay,1.882
sukidingels,0.565
dtn_mukai,0.72
albislol,0.343
beryl_lulu,2.073
Twaryna,1.454
Zade,3.541
RelaxBeats,0.234
Dakillzor,0.558
Slysssa,1.16
Jaidefinichon,0.048
TheMexicanRunner,0.464
chess24fr,0.055
kuiki771,1.39
MEKABEAR,0.841
TobiasFate,6.031
laribasgal,0.24
SmittyStone,0.288
HontasG,0.095
TaliaMar,1.212
dua3362,0.588
Multiplayerit,0.106
just_ns,1.566
LumeiFei,0.447
Robbaz,0.839
Oonolive,0.754
Arvius,0.261
Jackeyy,7.261
freyzplayz,0.556
BULLSEYE,0.841
Fitzyhere,0.464
SoyFelipez360,1.309
Amaz,1.335
ToneEUW,0.561
Hydramist,0.554
ShoXx__,0.986
Rated,0.488
DavyJones,0.767
GustafGabel,0.997
shenryyr,0.379
AdamKissAK,0.68
SaltyTeemo,0.345
ErenAktan,0.936
Cedduzzo,0.325
CyrusTWO,2.004
Dennsen86,1.092
SalvDali,0.406
Cesarvsc,0.636
slwalekoP,0.356
Mulder,0.985
killercam1020,0.248
zxcursed,6.622
armateam,0.2
airshowerse,0.26
DougisRaw,0.221
innocents,0.709
rdo1337,0.195
COQTO,0.228
AlliedEsports,0.035
Athena,0.448
Kertus,0.495
chefstrobel,0.661
Mande,0.664
DutchsinseOfficial,0.311
sacy,4.627
BigEx,0.345
orkpod,0.963
FenoHS,0.916
fuji720x,0.555
wagnificent,0.661
pankylol,1.885
LhCloudy27,0.367
Lapi,0.41
easywithaces,0.427
Ezekiel_III,0.597
Xaryu,0.135
sebasgmouret,0.114
del1ght,0.705
POKAMOLODOY,0.29
LiveCryptoTraders,0.024
MiiKeLMsT,0.447
SpiukBS,0.605
thejocraft_live,0.387
WagamamaTV,0.988
Alliance_Hakis,0.345
Morryeej,0.719
Wrugb,0.654
Faux,1.367
Wallibear,2.165
EJ_SA,0.384
LaeppaStream,1.147
suetam1v4,1.506
ANTILIPSI,0.587
Zblito,1.086
zunksoyyo,0.26
dahmien7,0.579
TheAdapting,0.081
SocialBoomTV,0.281
kennybeats,1.546
he0901,0.444
Halifax,0.322
Dada,1.686
10000DAYS,0.551
