Source,Weight
Mr__Gibbins,0.443
GeneraL_HS_,1.404
Drjayfisto,0.71
venruki,0.762
Kroatomist,0.206
Esportal,0.085
LAGTVMaximusBlack,1.167
MathoX,0.677
SgtGrafoyni,0.669
RealKraftyy,0.375
HappyThoughts,0.421
Tourva,0.243
J0J0C69,0.77
Nateos,1.765
Cringer,0.473
giganterichard,0.164
BibixHD,0.616
theLGX,0.211
cuky222,0.26
OnlyMXC,0.202
Mews,0.176
Preachlfw,3.826
KSPKSP,1.482
CastCrafter,0.513
elwycco,3.805
Ivan_Grieco,1.11
ubeka_,0.409
DQA_TFT,0.323
SZ_Taisheen,0.892
Maty,0.713
Valle,0.979
vivi0z1,0.638
KindaFunnyGames,1.103
KSWINNIIE,0.387
mortenroyale,1.239
XEWER,0.579
JustGaBBo,0.994
Co1azo,0.614
TaKeTV,0.57
Destiny,2.547
Otzdarva,5.993
Rakin,3.91
sujagg,0.976
jdm2088,3.055
Natsumiii,1.921
BastiGHG,3.225
1DrakoNz,1.498
IamCristinini,5.61
nokduro,7.301
Hirona,1.519
Bonjwa,3.236
BlitzStream,2.012
TeePee,7.299
Falcodrin,0.383
JohnPitterTV,4.817
Tectone,5.503
limit_maximum,0.164
pijack11,0.624
MuTeX,1.181
ziGueira,3.191
Distortion2,2.627
PAGO3,4.106
ElmiilloR,8.661
xChocoBars,1.69
Jolavanille,1.924
Jinnytty,6.659
LEGOO,6.319
Perxitaa,5.39
Sequisha,2.476
MatteoHS,0.974
BarbarousKing,3.721
et_1231,3.983
TFBlade,4.155
Vicens,1.852
Sacriel,1.5
Kitboga,9.038
DessT3,1.57
godjj,3.009
NateHill,1.033
RduLIVE,4.019
Mithrain,2.057
CasinoDaddy,1.727
saddummy,3.974
naseongkim,1.236
masondota2,2.496
resttpowered,3.291
SidneyEweka,5.081
IzakOOO,2.244
mch_AGG,0.885
SkipNhO,1.846
sweetdreams,4.508
agurin,1.147
Emongg,1.266
ThomeFN,0.492
ANGRYPUG,1.735
Ray__C,4.108
NymN,3.77
allkeyshop_tv,0.055
VELLOSO,0.112
bt0tv,1.923
dogdog,7.715
weathernewslive,0.102
ELoTRiX,3.026
uzra,3.471
Staiy,4.278
MasterTay,1.43
dakotaz,1.184
kennyS,2.525
QuickyBaby,2.389
LittleBigWhale,0.92
Giantwaffle,1.812
PietSmiet,4.693
Rumathra,6.551
bratishkinOFF,7.503
yeTz,0.154
KriszhAdvice,1.82
obm1025,1.755
Alkaizerx,1.171
WARDELL,2.394
C_a_k_e,5.432
TEBtv,2.643
Xop0,0.986
nodolly,1.476
Linkus7,0.507
AbdulHD,4.227
PokemonChallenges,1.499
MrSoki,2.788
runthefutmarket,3.372
RocketBeansTV,1.04
pulgaboy,0.513
ESL_csgo_es,1.827
skill4ltu,1.567
iGeStarK,0.411
war10ck3d,0.137
BananaSlamJamma,0.885
Syndicate,2.657
grafo,3.621
modestal,7.397
Deadlyslob,1.963
SaltyBet,0.537
VERNI_SHAVERMY,1.714
iLame,1.91
Reborn_Live,2.295
Jay3,1.217
NiklasWilson,1.036
nanayango3o,1.798
Shiphtur,0.851
Five0AnthO,2.589
Dyrus,1.305
BTSBrasilTV,0.766
ajehr,1.984
Arab,0.508
TheDarkness,0.105
dmf_kyochan,0.051
moogrr1211,0.682
GingiTV,1.416
littleragergirl,2.499
109ace,2.486
Diables,2.78
RiffTrax,0.474
OgamingSC2,1.523
TrymacsKaktusKoenig,0.187
MenosTrece,3.782
aXoZer,6.638
Im_Dontai,0.911
Pengu,2.59
sweetcampercs,2.912
DansGaming,2.303
Kennzy,2.54
HBomb94,1.506
TheRunningManZ,2.627
Yoshi93,0.697
lovelyyeon,0.958
TORRO,0.773
TheRealzBlueWater,1.162
uhSnow,2.782
BerriTV,0.381
blusewilly_retry,5.382
emin190766,0.029
Zrool,0.431
Naowh,1.767
Thebausffs,4.156
Mongraal,10.124
dandogg9,0.111
NeverSayYesTwitch,1.211
Conterstine,2.192
xPandorya,1.719
TES_csgo,0.61
Klean,1.258
fl0m,0.84
katoo,0.345
BruceGrannec,1.407
Naguura,0.073
WELOVEGAMES,2.622
rhobalas_lol,1.842
Caedrel,3.201
Baso,1.163
Gnu_Live,1.488
ArcadeBulls,0.556
KennyStream,0.923
mistafaker,0.423
DumbDog,1.327
ESAMarathon,0.476
Videoyun,1.423
mL7support,1.784
wkgml,1.376
StreamerHouse,0.288
Whaazz,0.512
Couriway,0.753
TpaBoMaH,3.003
olyashaa,1.671
Altair,2.198
MSStudio,2.375
BeatportOfficial,0.33
pilavpowa,1.657
veibae,7.308
kumikomii,0.971
IKeepItTaco,0.379
fnxLNTC,0.746
DreadzTV,3.97
FifaTargrean,1.311
Spraggy,0.734
FlexZ,1.484
Dekarldent,2.981
boyMinORu,2.413
TurunPug,0.496
NAKOO_Fn,1.782
alenenwooptv,1.16
kragiee,0.349
aesmatv,0.096
LuisOrmenoa27,0.749
GTimeTV,0.431
RybsonLoL_,3.01
ALOHADANCETV,1.181
Wolfabelle,1.009
NumotTheNummy,1.082
Kotton,0.673
bananabrea,1.615
CPentagon,1.169
Incon,1.425
AverageJonas,1.386
woowakgood,2.561
Gingerliness,1.608
Bawkbasoup,1.678
Afro,0.426
Nokokopuffs,1.185
kangqui,0.32
JeanMassietAccropolis,2.072
DeeThane,0.384
sonycast_,1.93
G4G_REVENANT,2.717
Dota2RuHub,11.087
TheGrefg,15.949
buddha,10.19
otplol_,1.405
csgomc_ru,13.083
ESL_CSGO,46.642
fps_shaka,18.449
juansguarnizo,23.144
Gaules,52.575
SypherPK,1.39
forsen,9.083
LIRIK,15.856
handongsuk,9.335
CohhCarnage,8.48
ShivFPS,7.665
auronplay,120.436
Insomniac,0.188
HusKerrs,2.827
LyonWGFLive,30.645
Tfue,9.334
Gotaga,4.446
NoWay4u_Sir,12.311
sodapoppin,25.539
Quin69,12.06
Gorgc,9.197
Ninja,14.039
Philza,18.891
