Source,Target,Weight
blxckoutz,ops1x,23
blxckoutz,SolaryFortnite,21
blxckoutz,Faah,159
blxckoutz,deercheerup,96
blxckoutz,nahzinhaa,70
blxckoutz,tiburciand0,144
blxckoutz,Monstercat,18
blxckoutz,frttt,67
blxckoutz,franchiseglobalart,16
blxckoutz,Japan_ASMR,16
blxckoutz,RelaxBeats,18
blxckoutz,SaltyTeemo,16
blxckoutz,AlliedEsports,17
blxckoutz,sacy,51
blxckoutz,pimpimenta,22
blxckoutz,OnlyMXC,16
blxckoutz,1DrakoNz,227
blxckoutz,JohnPitterTV,81
blxckoutz,Falcodrin,20
blxckoutz,SkipNhO,116
blxckoutz,mch_AGG,166
blxckoutz,ThomeFN,296
blxckoutz,allkeyshop_tv,19
blxckoutz,VELLOSO,51
blxckoutz,c9judite,64
blxckoutz,RocketBeansTV,17
blxckoutz,pulgaboy,139
blxckoutz,OgamingSC2,15
blxckoutz,TheRealzBlueWater,14
blxckoutz,oestagiario,59
blxckoutz,Gaules,249
blxckoutz,Insomniac,15
Solary,SolaryFortnite,20
Solary,SolaryHS,20
Solary,ESL_SC2,13
Solary,Monstercat,15
Solary,franchiseglobalart,13
Solary,Japan_ASMR,14
Solary,RelaxBeats,14
Solary,SaltyTeemo,14
Solary,Cedduzzo,14
Solary,killercam1020,11
Solary,AlliedEsports,13
Solary,OnlyMXC,13
Solary,1DrakoNz,14
Solary,Falcodrin,15
Solary,ThomeFN,14
Solary,allkeyshop_tv,16
Solary,weathernewslive,13
Solary,RocketBeansTV,14
Solary,OgamingSC2,13
Solary,TrymacsKaktusKoenig,9
Solary,TheRealzBlueWater,11
Solary,emin190766,10
Solary,dandogg9,15
Solary,muse_tw,14
Solary,StreamerHouse,14
Solary,otplol_,32
Solary,Insomniac,16
NickEh30,ops1x,46
NickEh30,sees360,33
NickEh30,ESL_SC2,33
NickEh30,franchiseglobalart,36
NickEh30,Bugha,55
NickEh30,BarcaGamer,41
NickEh30,RiffTrax,33
NickEh30,TheRealzBlueWater,35
NickEh30,Mongraal,128
NickEh30,Sommerset,47
NickEh30,Ranger,32
NickEh30,actingliketommy,35
NickEh30,AussieAntics,65
elded,Nephtunie,200
Amouranth,Alinity,154
BeyondTheSummit,ESL_SC2,40
Whippy,Ramee,163
Whippy,AnthonyZ,148
Whippy,Timmac,65
Whippy,Shotz,79
Whippy,Ray__C,102
Whippy,Ssaab,139
Whippy,buddha,234
Trainwreckstv,ROSHTEIN,744
Trainwreckstv,slwalekoP,131
Trainwreckstv,EsfandTV,323
knekro,knekro,0
Nightblue3,Nightblue3,0
ROSHTEIN,ROSHTEIN,0
Faah,ops1x,18
Faah,SolaryFortnite,19
Faah,ESL_SC2,16
Faah,Flanalistaa,11
Faah,Lagonis,10
Faah,MissDoitBIG,9
Faah,DashDucks,16
Faah,tetristhegrandmaster3,10
Faah,tiburciand0,70
Faah,ogmeik,10
Faah,demonzz1,14
Faah,Monstercat,16
Faah,frttt,33
Faah,franchiseglobalart,16
Faah,Japan_ASMR,15
Faah,Dirtybird,11
Faah,RelaxBeats,16
Faah,SaltyTeemo,17
Faah,Cedduzzo,15
Faah,killercam1020,13
Faah,Cesarvsc,11
Faah,AlliedEsports,17
Faah,venruki,11
Faah,OnlyMXC,15
Faah,Bonjwa,14
Faah,1DrakoNz,114
Faah,JohnPitterTV,103
Faah,Falcodrin,20
Faah,SkipNhO,44
Faah,mch_AGG,70
Faah,ThomeFN,130
Faah,allkeyshop_tv,20
Faah,VELLOSO,22
Faah,weathernewslive,13
Faah,c9judite,19
Faah,RocketBeansTV,15
Faah,pulgaboy,54
Faah,war10ck3d,12
Faah,BTSBrasilTV,19
Faah,OgamingSC2,13
Faah,TrymacsKaktusKoenig,9
Faah,RiffTrax,18
Faah,TheRealzBlueWater,14
Faah,emin190766,11
Faah,dandogg9,14
Faah,muse_tw,15
Faah,Abracadabra,11
Faah,StreamerHouse,15
Faah,its_WiKeD,10
Faah,Gaules,129
Faah,Insomniac,14
deercheerup,nahzinhaa,195
deercheerup,tiburciand0,313
deercheerup,SkipNhO,145
deercheerup,mch_AGG,221
deercheerup,ThomeFN,73
deercheerup,oestagiario,136
deercheerup,fnxLNTC,163
deercheerup,Gaules,818
AsmodaiTV,AsmodaiTV,0
daltoosh,daltoosh,0
zwebackhd,zwebackhd,0
fobm4ster,AsianGuyStream,138
Reetlol,ops1x,68
Reetlol,Slick,20
Reetlol,Sommerset,34
Reetlol,actingliketommy,32
Reetlol,AussieAntics,57
Day9tv,Day9tv,0
Slick,ops1x,19
Slick,SolaryFortnite,18
Slick,ESL_SC2,12
Slick,Flanalistaa,9
Slick,TheLivia,9
Slick,MYMTUMTUM69,11
Slick,MissDoitBIG,9
Slick,AlliedEsports,10
Slick,PaladinAmber,10
Slick,HisandHersLive,12
Slick,ThomeFN,14
Slick,allkeyshop_tv,12
Slick,weathernewslive,11
Slick,BarcaGamer,42
Slick,pulgaboy,14
Slick,OgamingSC2,9
Slick,TheRealzBlueWater,9
Slick,emin190766,9
Slick,dandogg9,13
Slick,its_WiKeD,11
Slick,Alliege,102
Slick,Insomniac,11
AshSaidHi,SolaryFortnite,7
AshSaidHi,ESL_SC2,6
AshSaidHi,Flanalistaa,5
AshSaidHi,TheLivia,4
AshSaidHi,AWS,5
AshSaidHi,MYMTUMTUM69,8
AshSaidHi,Lagonis,5
AshSaidHi,MissDoitBIG,4
AshSaidHi,ogmeik,5
AshSaidHi,Monstercat,5
AshSaidHi,jmjdoc,7
AshSaidHi,Kaceytron,8
AshSaidHi,franchiseglobalart,6
AshSaidHi,Japan_ASMR,5
AshSaidHi,Dirtybird,7
AshSaidHi,RelaxBeats,6
AshSaidHi,SaltyTeemo,6
AshSaidHi,Cedduzzo,7
AshSaidHi,LadyAhriadna,8
AshSaidHi,killercam1020,5
AshSaidHi,Cesarvsc,5
AshSaidHi,AlliedEsports,8
AshSaidHi,drlee_kor,3
AshSaidHi,LiveCryptoTraders,3
AshSaidHi,UnRationaL,6
AshSaidHi,elweroking,7
AshSaidHi,KING_spb,7
AshSaidHi,PaladinAmber,6
AshSaidHi,OnlyMXC,6
AshSaidHi,Bonjwa,7
AshSaidHi,Falcodrin,7
AshSaidHi,PAAStreaming,4
AshSaidHi,allkeyshop_tv,8
AshSaidHi,VELLOSO,7
AshSaidHi,weathernewslive,4
AshSaidHi,war10ck3d,5
AshSaidHi,OgamingSC2,5
AshSaidHi,TrymacsKaktusKoenig,3
AshSaidHi,TheRealzBlueWater,7
AshSaidHi,emin190766,4
AshSaidHi,Abracadabra,7
AshSaidHi,its_WiKeD,4
xandfps,1DrakoNz,24
xandfps,allkeyshop_tv,8
ZubatLEL,ZubatLEL,0
Yogscast,SolaryFortnite,12
Yogscast,ESL_SC2,14
Yogscast,TheLivia,7
Yogscast,AWS,9
Yogscast,MissDoitBIG,10
Yogscast,tetristhegrandmaster3,13
Yogscast,Monstercat,16
Yogscast,franchiseglobalart,11
Yogscast,Japan_ASMR,14
Yogscast,Dirtybird,7
Yogscast,RelaxBeats,12
Yogscast,SaltyTeemo,13
Yogscast,Cedduzzo,12
Yogscast,killercam1020,11
Yogscast,Cesarvsc,11
Yogscast,AlliedEsports,12
Yogscast,Athena,11
Yogscast,LiveCryptoTraders,8
Yogscast,UnRationaL,9
Yogscast,OnlyMXC,12
Yogscast,1DrakoNz,12
Yogscast,Falcodrin,13
Yogscast,ThomeFN,13
Yogscast,allkeyshop_tv,13
Yogscast,weathernewslive,12
Yogscast,c9judite,13
Yogscast,RocketBeansTV,12
Yogscast,pulgaboy,13
Yogscast,war10ck3d,10
Yogscast,SaltyBet,15
Yogscast,BTSBrasilTV,14
Yogscast,OgamingSC2,14
Yogscast,TrymacsKaktusKoenig,9
Yogscast,TheRealzBlueWater,11
Yogscast,emin190766,11
Yogscast,dandogg9,14
